author,desc,rating,reviews,title,totalratings,New_genre,Business,Classics,Comics,Contemporary,Crime,Fantasy,Fiction,History,Horror,Humor,Manga,Mystery,Nonfiction,Philosophy,Poetry,Psychology,Religion,Romance,Science,Suspense,Thriller
"SangEun Lee,JiEun Park,Natalie Baan","Hee-So is back to normal now that Beatrice â€” her beloved, if erstwhile, cactus â€” is back in her life! Now sheâ€™s determined to make the most of whatâ€™s left of her summer vacation with her dear Won-Jun. But on a lovey-dovey date to the aquarium, Won-Jun drops a bombshell on Hee-So: He plans to leave the countryâ€¦and herâ€¦behind! With her world crashing down around her, the heartbroken Hee-So resorts to junk food to fill the great big hole that Won-Junâ€™s imminent departure has created. But soon she realizes that sheâ€™s not as alone as she thinks. Thereâ€™s been someone by her side all along to pick up the pieces â€” Beatrice!",3.72,1,"13th Boy, Vol. 9",29,Manga,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carl Hose,Marcella Hose","Deadtown and Other Tales of Horror Set in the Old West, contains 13 tales of bloody, gritty horror that includes werewolves, mummies, cannibals, zombies, ghosts, vampires, aliens, skinwalkers, and things that slither underground. A perfect reading experience for fans of authentic western action and gruesome horror.",3.83,2,Deadtown and Other Tales of Horror Set in the Old West,6,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jim Krueger,Alex Ross,John Paul Leon","Great epics come along only once in a long while. Stories that push the normal boundaries and force the reader to think. Stories so powerful in message and so grand in scale that the guidelines by which such tales are usually judged are completely rearranged. Spawned from the brilliant creative mind of Alex Ross, EARTH X is one such epic. Along with writer Jim Krueger and artist John Paul Leon, Ross breathes life into and gives amazing detail to every facet of the EARTH X mythos - made evident by everything from his early conceptual pencil sketches to each of his fourteen beautifully painted covers. EARTH X explores the depths and heights of the Marvel Universe, from the roots of its humble beginnings to the peak of its ultimate potential.,Collects Earth X #0-12, X.",3.86,122,Earth X,2906,Comics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paula Quinn,"A LOVER'S PROMISE,Connor Grant left his first love in the Highlands, vowing to return after serving in the king's army. Seven years later, he is still fighting for the crown, and his victories are legendary-both in the battlefield and in the bedroom. Yet he's never forgotten his bonnie lass. And he certainly never expected to see her amidst the splendor of the British royal court: beautiful, breathtaking, and tempting him past the point of no return.,A LADY'S DESTINY ,The night he left, Mairi MacGregor banished Connor from her life forever. Now her heart belongs only to Scotland. As part of a secret alliance, she journeys to London in search of information . . . only to find herself face to face with the one man she swore she'd never trust again. Though Mairi's body still craves Connor's touch, she can't forgive his betrayal. But a traitor lurks in their midst and to protect her beloved Highlands, Mairi must make a leap of faith and join forces with Connor-even if it means losing her heart to him again.",4.07,162,Tamed by a Highlander,2754,Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mark Monmonier,"For years Mark Monmonier, ""a prose stylist of no mean ability or charm"" according to the ,Washington Post,, has delighted readers with his insightful understanding of cartography as an art and technology that is both deceptive and revealing. Now he turns his focus to the story of political cartography and the redrawing of congressional districts. His title ,Bushmanders and Bullwinkles, combines ,gerrymander, with the surname of the president who actively tolerated racial gerrymandering and draws attention to the ridiculously shaped congressional districts that evoke the antlers of the moose who shared the cartoon spotlight with Rocky the Flying Squirrel.,Written from the perspective of a cartographer rather than a political scientist, ,Bushmanders and Bullwinkles, examines the political tales maps tell when votes and power are at stake. Monmonier shows how redistricting committees carve out favorable election districts for themselves and their allies; how disgruntled politicians use shape to challenge alleged racial gerrymanders; and how geographic information systems can make reapportionment a controversial process with outrageous products. He also explores controversies over the proper roles of natural boundaries, media maps, census enumeration, and ethnic identity. Raising important questions about Supreme Court decisions in regulating redistricting, Monmonier asks if the focus on form rather than function may be little more than a distraction from larger issues like election reform. ,Characterized by the same wit and clarity as Monmonier's previous books, ,Bushmanders and Bullwinkles, is essential background for understanding what might prove the most contentious political debate of the new decade.",3.31,3,Bushmanders and Bullwinkles: How Politicians Manipulate Electronic Maps and Census Data to Win Elections,13,Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Umberto Eco,"In the course of the long debate on the nature and the classification of signs, from Boethius to Ockham, there are at least three lines of thought: the Stoic heritage, that influences Augustine, Abelard, Francis Bacon; the Aristotelian tradition, stemming from the commentaries on ,De Interpretatione;, the discussion of the grammarians, from Priscian to the Modistae. Modern interpreters are frequently misled by the fact that the various authors regularly used the same terms. Such a homogeneous terminology, however, covers profound theoretical differences. The aim of these essays is to show that the medieval theory of signs does not represent a unique body of semiotic notions: there are diverse and frequently alternative semiotic theories. This book thus represents an attempt to encourage further research on the still unrecognized variety of the semiotic approaches offered by the medieval philosophies of language.",4.1,0,On The Medieval Theory Of Signs,10,History,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Sussman,"A mutilated corpse washes up on the banks of the Nile, an antiques dealer is murdered, and an eminent British archaeologist is found dead at the ancient necropolis of Saqqara. At first, the incidents appear unconnected. However, Inspector Yusuf Khalifa of the Luxor police is suspicious. So is the archaeologist's daughter, Tara Mullray. As they both seek to uncover the truth, they find themselves thrown together in a desperate race for survival. From a mysterious fragment of an ancient hieroglyphic text to rumors of a fabulous lost tomb in the Theban Hills, from the shimmering waters of the Nile to the dusty backstreets of Cairo, Khalifa and Mullray are drawn deeper into a labyrinth of violence, intrigue, and betrayal. It is a path that will eventually lead them into the forbidding, barren heart of the western desert, and to the answer to one of the greatest mysteries of the ancient world.",3.76,314,The Lost Army of Cambyses,3991,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P.G. Wodehouse,David A. Jasen",,3.66,6,"The Eighteen-Carat Kid, and Other Stories",38,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bryan W. Van Norden,"This book is an introduction in the very best sense of the word. It provides the beginner with an accurate, sophisticated, yet accessible account, and offers new insights and challenging perspectives to those who have more specialized knowledge. Focusing on the period in Chinese philosophy that is surely most easily approachable and perhaps is most important, it ranges over of rich set of competing options. It also, with admirable self-consciousness, presents a number of daring attempts to relate those options to philosophical figures and movements from the West. I recommend it very highly.--Lee H. Yearley, Walter Y. Evans-Wentz Professor, Religious Studies, Stanford University",4.02,13,Introduction to Classical Chinese Philosophy,135,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eric Griffin,"""The """"Dark"""" in the World of Darkness ""RM"" Rhymes with """"The Meat Sea"""". It began with Clan Novel: Toreador ""TM""; a 13-novel series concerning the Kindred. This series comprises the biggest event in the history of the World of Darkness -- and this is only the second book This epic series of over one million words will reveal the secrets of the vampires' hidden world, from the smallest detail to the grandest marvel. The Nosferatu's apparent scheme to put the Eye of Hazimel into the hands of the Setite, Vegel, will decide the fates of Kindred legions and determine the future of the Camarilla and Sabbat -- the sects engaged in a massive war along the entire East Coast. And that's pretty much what the Sabbat thinks of humanity. Each novel in this series features a member of one of the 13 vampire clans. Clan Novel: Tzimisce introduces the Sabbat side of the conflict through Sascha Vykos, a depraved and incredibly powerful night-predator. A war along the American East Coast erupts as the Sabbat launches relentless attacks against Camarilla-held cities"".",3.5,26,Clan Novel: Tzimisce,620,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Henry D. Spalding,"Spalding allows 40 centuries of Jewry to speak for itself, not through tears, but laughter; sometimes with a sigh, but mostly in jubilant fashion.",4.15,2,Encyclopedia Of Jewish Humor; From Biblical Times To The Modern Age,20,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lincoln Child,"Under the direction of famed explorer Porter Stone, an archaeological team is secretly attempting to locate the tomb of an ancient pharaoh who was unlike any other in history. Stone believes he has found the burial chamber of King Narmer, the near mythical god- king who united upper and lower Egypt in 3200 B.C., and the archaeologist has reason to believe that the greatest prize of allâ€”Narmerâ€™s crownâ€”might be buried with him. No crown of an Egyptian king has ever been discovered, and Narmerâ€™s is the elusive â€œdoubleâ€ crown of the two Egypts, supposedly posÂ­sessed of awesome powers. ,The dig itself is located in one of the most forbidding places on earthâ€”the Sudd, a nearlyÂ  impassable swamp in northÂ­ern Sudan. Amid the nightmarish, disorienting tangle of mud and dead vegetation, a series of harrowing and inexpliÂ­cable occurrences are causing people on the expedition to fear a centuries- old curse. With a monumental discovery in reach, Professor Jeremy Logan is brought onto the project to investigate. What he finds will raise new questions . . . and alarm. ,In the hands of master storyteller Lincoln Child, ,The Third Gate, breaks new ground and introduces a fascinating new protagonist to the thriller world.",3.69,1383,The Third Gate,14203,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
W.D. Hart,"The Evolution of Logic examines the relations between logic and philosophy over the last 150 years. Logic underwent a major renaissance beginning in the nineteenth century. Cantor almost tamed the infinite, and Frege aimed to undercut Kant by reducing mathematics to logic. These achievements were threatened by the paradoxes, like Russell's. This ferment generated excellent philosophy (and mathematics) by excellent philosophers (and mathematicians) up to World War II. This book provides a selective, critical history of the collaboration between logic and philosophy during this period. After World War II, mathematical logic became a recognized subdiscipline in mathematics departments, and consequently but unfortunately philosophers have lost touch with its monuments. This book aims to make four of them (consistency and independence of the continuum hypothesis, Post's problem, and Morley's theorem) more accessible to philosophers, making available the tools necessary for modern scholars of philosophy to renew a productive dialogue between logic and philosophy.",4.8,0,The Evolution of Logic,5,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Robin Cook,"ROBINÂ COOK--,New York Times-,best selling author and master of the medical thriller--returns with another crackling tale of unchecked greed, medical malfeasance, adn starling science.,PIA GRAZDANI ,is an exceptional yet aloof medical student working closely with Columbia University Medical Center's premier scientist on cutting-edge research that could revolutionize health care by creating replacement organs for critically ill patients. Thorough her work with the brilliant molecular geneticist Dr. Tobias Rothman, Pia knows she will be given the chance to fulfill her ambition to participate in medical discoveries that can help millions while bringing her a measure of personal peace that might once and for all push aside memories of her difficult and abusive childhood.But when tragedy strikes in the lab, Pia, with the help of infatuated classmate George Wilson,Â must investigateÂ the unforeseen calamity in the hospital's supposedly secure biosafety lab.,Meanwhile, two ex-Wall Street whiz kids think they have found another loadstone in the nation's multi-trillion dollar life insurance industry. They race to find ways to control actuarial data and securitize the policies of the aged and infirm to make another killing.,As Pia and George dig deeper into the events at the lab one question remains unanswered: is someone attempting to manipulate private insurance information to allow investors to benefit from the deaths of others?",3.58,393,Death Benefit,3499,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jean-Christophe GrangÃ©,Ian Monk","Every year the storks set off on their miraculous 12,000-mile migration from Northern Europe to Central Africa. Then one year, inexplicably, they do not return. ,At the invitation of the wealthy Swiss ornithologist Max Boehm, a young French academic, Louis Antioch, agrees to undertake a journey tracing the flight of the storks in an attempt to solve the mystery of the birds' disappearance. Before Antioch can set off on his trip, however, Boehm dies of a heart attack under suspicious circumstances, or so the police believe. , ,This is the background to Jean-Christophe GrangÃ©'s pulsating and darkly mysterious new thriller. Its plot moves at a dramatic pace, from a Bulgarian Gypsy encampment to Israeli kibbutzim and to Calcutta from the green jungles of Central Africa. As the mystery deepens, it becomes clear that it is not only the stork that is an endangered species. , ,Jean-Christophe GrangÃ© was born in Paris in 1961. His acclaimed thriller, Blood-red Rivers (Harvill, 2000), has become an international bestseller. , ,* ""Absolutely riveting stuff."" ï¿½Peter Millar The Times London ,* ""Blood-red Rivers is a blistering murder mystery . . . If there is any justice in the world, this novel will not only hold its own in the bestseller list, but will top it."" ï¿½Peter Longcake The Bookseller",4.09,172,Flight of the Storks,4436,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Al Ãlvarez,"""Suicide,"" writes the notes English poet and critic A. Alvarez, ""has permeated Western culture like a dye that cannot be washed out."" Although the aims of this compelling, compassionate work are broadly cultural and literary, the narrative is rooted in personal experience: it begins with a long memoir of Sylvia Plath, and ends with an account of the author's own suicide attempt. Within this dramatic framework, Alvarez launches his enquiry into the final taboo of human behavior, and traces changing attitudes towards suicide from the perspective of literature. He follows the black thread leading from Dante through Donne and the romantic agony, to the Savage God at the heart of modern literature.",4.0,106,The Savage God: A Study of Suicide,1203,Nonfiction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anders Roslund,BÃ¶rge HellstrÃ¶m,Anna Paterson","Two children are found dead in a basement. Four years later, their murderer escapes from prison. The police know if he is not found quickly, he will kill again. But when their worst fears come true and another child is murdered, the situation spirals out of control. In an atmosphere of hysteria whipped up by the media, Fredrik Steffansson, father of the murdered child, decides he must take revenge. His actions will have devastating consequences.Â Winner ofÂ Scandinavia's most prestigious crime-writing award: The Glass Key for Best Crime Novel of the Year.",3.65,164,The Beast,2139,Mystery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Xavier Dorison,"When the American submarine U.S.S. Nebraska answers a mysterious distress beacon, the crew discovers a WWII Russian sub at the mouth of an underwater temple. While investigating the bizarre wreck, some members of the crew find themselves trapped in the mysterious sanctum. In this gripping horror tale, the crewmen of the Nebraska, both within the sanctum and inside the submarine, are stalked by an ancient evil deep under the sea. Can they live long enough to discover the secret of the Sanctum? Suggested For Mature Readers.",3.48,17,Sanctum,197,Comics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Burlingham,"The bestselling, award-winning classic on how maverick companies have passed up the growth treadmill to focus on gretness, now in a revised and updated tenth-anniversary edition., ,It has long been a business article of faith that great companies, by definition, constantly focus on maximizing their revenues year after year. Yet quietly, under the radar, a growing number of undeniably great compabnies have rejected the pressure of endless growth to focus on more satisfying business goals. ,Veteran journalist Bo Burlingham takes us deep inside fourteen of these remarkable comapnies that have chosen to march to their own drummer. He shows the leaders of these small giants recognized the full range of choices they had about the type of company they could create and made the choice to pursue greateness by placing other goals ahead of getting as big as possible as fast as possible. And he shows how we can all benefit by questioning the conventional definitions of business success.""",3.88,232,Small Giants: Companies That Choose to Be Great Instead of Big,4146,Business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lin Carter,"THE CLASSIC FANTASY SERIES, FROM THE CO-AUTHOR OF, CONAN THE BARBARIAN! At the height of the Vietnam War, Jon Dark is a helicopter pilot for the International Red Cross, flying numerous rescue missions...until the day his helicopter crashes in the Cambodian jungles. Cut off from American troops, he searches for a way out, only to find a lost city -- and the gateway to another world.,Stepping through the portal, he arrives on Callisto -- a savage, hostile world terrorized by insect-men and the infamous Sky Pirates of Zanadar. It is a world of black and crimson jungles where Jon Dark -- now known as Jandar -- finds not only chilling dangers awaiting him, but also the love of a beautiful princess.",3.53,3,Callisto Volume 1,34,Fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maureen Wood,"Can't get enough spooks, spirits, and specters? Now you'll never have to go a day without your ghoulish fix. This ghastly collection features some of the scariest stories of murder, revenge, and suicide ever toldâ€”and the spirits that haunt their resting place for all time. As a truly unique convention, each story directly relates to the specific day on which it's found. You'll find shocking stories of:,Sightings of the spectral SS Valencia that was lost at sea on January 22nd, 1906,The ""Thirteen Lost Souls"" trapped in the burning Jolema Building in Brazil on February 1st, 1974 seen roaming the new corridors and offices,The ghostly ""mist of the Green Lady"" in the oldest graveyard in Burlington, Connecticut, which she started haunting on April 12, 1800,Not for the faint of heart, this book delivers tales to terrify you every day of the year!",3.76,17,"A Ghost a Day: 365 True Tales of the Spectral, Supernatural, andâ€¦Just Plain Scary!",88,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Edward N. Zalta,"In this book, Edward N. Zalta tackles the issues that arise in connection with intensional logic and intentional states.,In this book, Edward N. Zalta tackles the issues that arise in connection with intensional logic - a formal system for representing and explaining the apparent failures of certain important principles of inference - and intentional states - mental states such as beliefs, hopes, and desires, that are directed toward the world. His theory not only offers a unified explanation of the various kinds of inferential failures associated with intensional logic, but also unifies the study of intensional contexts and intentional states by grounding the explanation of both phenomena in a single theory. Zalta shows that an axiomatized realm of abstract entities, when added to the metaphysical structure of the world, can be used to identify and individuate the contents of directed mental states. These special abstract entities can be viewed as the objectified contents of mental files and they play a crucial role in the analysis of the truth conditions of the sentences involved in the inference failures. The intentional logic Zalta develops, unlike others, can analyze a wide variety of failures involving the principles of substitutivity, existential generalization, and strong extensionality.,A Bradford Book.",4.0,0,Intensional Logic and Metaphysics of Intentionality,1,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brenda Shoshanna,"Perennially popular topics Zen and romance come together in this unique guide that reveals how to fall in love and stay that way.,We are meant to be in love. Love energizes our daily existence, heals the body and mind and makes every moment precious. So why aren't we in love all the time?, ,In ,Zen and the Art of Falling in Love,, psychologist, relationship expert and Zen practitioner Brenda Shoshanna shows readers how to rejuvenate their romantic lives by combining a psychological understanding of relationships with the way of Zen practice. The lessons provided by such practices as Taking Your Shoes Off (Becoming Available), Sitting on the Cushion (Meeting Yourself), Cleaning House (Emptying Yourself) and Receiving the Stick (Dealing with Blows) can offer new insight into the common problems of miscommunication, lies, betrayal, jealousy, insecurity, loss, and disappointment. Using the lessons of Zen practice, you can open your life to love, fall in loveâ€”and stay in love.",4.24,35,Zen and the Art of Falling in Love,307,Nonfiction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marcus Chown,"The two towering achievements of modern physics are quantum theory and Einstein's general theory of relativity. Together, they explain virtually everything about the world we live in. But, almost a century after their advent, most people haven't the slightest clue what either is about. Did you know that there's so much empty space inside matter that the entire human race could be squeezed into the volume of a sugar cube? Or that you grow old more quickly on the top floor of a building than on the ground floor? And did you realize that 1 per cent of the static on a TV tuned between stations is the relic of the Big Bang? These and many other remarkable facts about the world are direct consequences of quantum physics and relativity. Quantum theory has literally made the modern world possible. Not only has it given us lasers, computers, and nuclear reactors, but it has provided an explanation of why the sun shines and why the ground beneath our feet is solid. Despite this, however, quantum theory and relativity remain a patchwork of fragmented ideas, vaguely understood at best and often utterly mysterious. average person. Author Marcus Chown emphatically disagrees. As Einstein himself said, Most of the fundamental ideas of science are essentially simple and may, as a rule, be expressed in a language comprehensible to everyone. If you think that the marvels of modern physics have passed you by, it is not too late. In Chown's capable hands, quantum physics and relativity are not only painless but downright fun. So sit back, relax, and get comfortable as an adept and experienced science communicator brings you quickly up to speed on some of the greatest ideas in the history of human thought.",4.05,27,The Quantum Zoo: A Tourist's Guide to the Neverending Universe,164,Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barry Eisler,"For most couples, a quiet dinner for two at Auberge de la Reine Blanche on the Ile Saint Louis would be just the thing to smooth out the complications in a romance. But for gorgeous Mossad operative Delilah and trying-to-retire contract killer John Rain, nothing is ever easy, and when Rain sees a crew of hard-looking men setting up outside the restaurant, he realizes someone has been bringing her work home with her. Is it a hit -- or something even worse? When it comes to killing, business and pleasure is the most dangerous mix of all.,Includes an essay called ,Personal Safety Tips from Assassin John Rain,, which contains information that will be at least as valuable to civilians as it has been to Rain.,This story is approximately 8500 words -- ,Listening Length: 49 minutes",3.9,86,"Paris Is A Bitch (John Rain, #6.5)",2115,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A.E.W. Mason,Gary Hoppenstand","Just before sailing off to war in the Sudan, British guardsman Harry Feversham quits his regiment. He immediately receives four white feathersâ€”symbols of cowardiceâ€”one each from his three best friends and his fiancÃ©e. To disprove this grave dishonor, Harry dons an Arabian disguise and leaves for the Sudan, where he anonymously comes to the aid of his three friends, saving each of their lives.,Having proved his bravery, Harry returns to England, hoping to regain the love and respect of his fiancÃ©e. This suspenseful tale movingly depicts a distinctive code of honor that was deeply valued and strongly promoted by the British during the height of their imperial power.",3.91,290,The Four Feathers,4627,Classics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margaret Creighton,"From the voyage of the Argonauts to the Tailhook scandal, seafaring has long been one of the most glaringly male-dominated occupations. In this groundbreaking interdisciplinary study, Margaret Creighton, Lisa Norling, and their co-authors explore the relationship of gender and seafaring in the Anglo-American age of sail. Drawing on a wide range of American and British sourcesâ€”from diaries, logbooks, and account ledgers to songs, poetry, fiction, and a range of public sourcesâ€”the authors show how popular fascination with seafaring and the sailors' rigorous, male-only life led to models of gender behavior based on ""iron men"" aboard ship and ""stoic women"" ashore.,Yet ,Iron Men, Wooden Women, also offers new material that defies conventional views. The authors investigate such topics as women in the American whaling industry and the role of the captain's wife aboard ship. They explore the careers of the female pirates Anne Bonny and Mary Read, as well as those of other womenâ€”""transvestite heroines""â€”who dressed as men to serve on the crews of sailing ships. And they explore the importance of gender and its connection to race for African American and other seamen in both the American and the British merchant marine. Contributors include both social historians and literary critics: Marcus Rediker, Dianne Dugaw, Ruth Wallis Herndon, Haskell Springer, W. Jeffrey Bolster, Laura Tabili, Lillian Nayder, and Melody Graulich, in addition to Margaret Creighton and Lisa Norling.",3.83,2,"Iron Men, Wooden Women: Gender and Seafaring in the Atlantic World, 1700-1920",48,History,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle West,Jelani Sims,Gary Phillips","You were a student just trying to survive college. Now, as zombies break down your front door, you must ask if you will survive the night.,You will need weapons. A vehicle. A group. A plan.,You must make all the right decisions to avoid a zombie's sharp teeth shredding you to bloody bits.,Will you rescue your overbearing ex-girlfriend, who broke up with you hours before the zombies arrived?,Will you trust the survivors you meet along the way?,Will you retreat to the country's little-used roads and creepy forests? Or fight your way through the city's streets, buildings, and subways?,Can you end the Necromancer's zombie reign of terror, or watch helplessly as the world disintegrates into his vision of madness and death?,If you are quick on your feet, you just might live to see another day. One wrong decision, you will end up as zombie food, or worse...a member of the undead.",3.53,6,Night of the Necromancer: Can You Survive the Zombie Apocalypse?,32,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Robert D. Keppel,William J. Birnes,Gary Leon Ridgway,Ann Rule"," ,After a search of over twenty years, one of America's most elusive serial killers was finally apprehended. Now, read the true story of one man's attempt to get inside the mind of the Green River Killer, , July 15, 1982: a woman's strangled body was found, caught on the pilings of Washington state's Green River. Before long, the ""Green River Killer"" would be suspected in at least forty-nine more homicides, with no end in sight. Then the authorities received an unbelievable letter from the infamous serial killer Ted Bundy -- then on Florida's death row -- offering to help catch the Green River Killer. But he would only talk to one man: Robert Keppel, the former homicide detective who had helped track Bundy's cross-county killing spree. , Now these conversations are revealed, in which Bundy speculates about the motive and methods of the Green River Killer -- and reveals his ,own, twisted secrets as well. Now, as never before, we look into the face of evil...and into the heart of a killer.",3.93,90,The Riverman: Ted Bundy and I Hunt for the Green River Killer,3411,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dwight Goddard,Robert Aitken","A wide selection of readings from Pali, Sanskrit, Chinese, Tibetan, and modern sources intended to provide the reader with a foundation in classical Buddhist thought.,The first book to bring together the key texts of modern Buddhism.,In the last hundred years, the world, especially the West, has increasingly embraced the teachings of Buddhism. A modern Buddhist Bible is the first anthology to bring together the writings from Buddhists, both Eastern and Western, that have redefined Buddhism for our era.,Forging a universal doctrine from the divergent traditions of China, Sri Lanka, Japan, Burma, Thailand, and Tibet, the makers of modern Buddhism saw it as a return to the origin, as renowned scholar Donald Lopez shows. Modern Buddhism is for them a homeward journey to the vision of Buddha himself. Putting far more stress on meditation and spirituality than on ritual and relics, it embraces the ordination of women and values of science, social justice, tolerance, and individual freedom.",4.01,27,A Buddhist Bible,630,Religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Donato Carrisi,"A gripping literary thriller and smash bestseller that has taken Italy, France, Germany and the UK by storm.,Six severed arms are discovered, arranged in a mysterious circle and buried in a clearing in the woods. Five of them appear to belong to missing girls between the ages of eight and eighteen. The sixth is yet to be identified. Worse still, the girls' bodies, alive or dead, are nowhere to be found.,Lead investigators Mila Vasquez, a celebrated profiler, and Goran Gavila, an eerily prescient criminologist, dive into the case. They're confident they've got the right suspect in their sights until they discover no link between him and any of the kidnappings except the first. The evidence in the case of the second missing child points in a vastly different direction, creating more questions than it answers.,Vasquez and Gavila begin to wonder if they've been brought in to take the fall in a near-hopeless case. Is it all coincidence? Or is a copycat criminal at work? Obsessed with a case that becomes more tangled and intense as they unravel the layers of evil, Gavila and Vasquez find that their lives are increasingly in each other's hands.,THE WHISPERER, as sensational a bestseller in Europe as the Stieg Larsson novels, is that rare creation: a thought-provoking, intelligent thriller that is also utterly unputdownable.",4.16,1748,The Whisperer,15332,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Larry Niven,Jerry Pournelle","This is the 6th Pocket printing.,Cover Artist: Harry Bennett,An unearthly voice hisses unholy welcome. And the late, great Allen Carpentier begins his one-way journey into the dim nether regions where flame-colored demons wield diabolically sharp pitchforks and tormented vixens reign forever in a pond of sheer ice. Here, in this land of torment and terror, he discovers the amazing truth of the ultimate adventure that lies beyond the grave.,Frank Herbert -""The somber beauty of INFERNO brought up to the twentieth century with care and humor and with some sins Dante didn't even suspect.""",3.83,340,Inferno,5486,Fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herman Brusselmans,"Een boekhandelaar maakt door voortdurend te mopperen op het leven en het beledigen van zijn klanten geen succes van zijn nering. Vervolg op ""De man die werk vond"".",3.55,10,Nog drie keer slapen en ik word wakker,331,Fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott Leyton,"In this new edition of his landmark 1986 study, pioneering anthropologist Elliott Leyton examines the psyche and motivations of his six original multiple-murderer subjects and now takes stock of how far we've come since then in our understanding of why people commit gruesome assaults on innocent strangers. This case-study approach -- based on years of immersion in the killers' diaries, confessions, psychiatric interviews, statements to the press, videotapes, and photographs -- led the way in defining serial and mass murders not as the acts of alien creatures with deranged minds but rather as personalized protests by alienated men against the society that they believe has excluded them. Leyton also provides an analysis of the Washington, D.C. sniper case. While uncovering the central themes of modern culture that motivated their deeds, Leyton provides vivid and chilling portraits of Edmund Kemper, Ted Bundy, Albert DeSalvo, and David Berkowitz, serial murderers whose prolonged killing campaigns provided them revenge against the world and celebrity careers; and other mass murderers whose brief but horrific murder sprees constituted their own enigmatic suicide notes. The author shows that the motives of multiple murderers are not simply sexual or psychotic; but rise from the very core of American mass culture.",3.8,32,Hunting Humans: The Rise of the Modern Multiple Murderer,450,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrie Hagen,"The city was about to host the United States Centennial celebration, and the mass panic surrounding the Charley Ross case plunged the nation into hysteria.,The desperate search led the police to inspect every building in Philadelphia, set up saloon surveillance in New Yorkâ€™s notorious slums, and begin a national manhunt. With white-knuckle suspense and historical detail, Hagen vividly captures the dark side of an earlier America. Her brilliant portrayal of its criminals, detectives, politicians, spiritualists, and ordinary families will stay with the reader long after the final page.",3.25,66,We Is Got Him: The Kidnapping that Changed America,302,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Russell,"Bertrand Russell brushes sharply delineated portraits of notable writers, philosophers and politicians. Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork.",4.04,11,Portraits From Memory and Other Essays,113,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
